MAC,Description,Serial,OSDComputerName,AssetTag
00:24:45:E1:58:01,Computer01,Serial001,Computer01,Asset-Tag001
00:24:45:E1:58:02,Computer02,Serial002,Computer02,Asset-Tag002
00:24:45:E1:58:03,Computer03,Serial003,Computer03,Asset-Tag003
00:24:45:E1:58:04,Computer04,Serial004,Computer04,Asset-Tag004
00:24:45:E1:58:05,Computer05,Serial005,Computer05,Asset-Tag005
00:24:45:E1:58:06,Computer06,Serial006,Computer06,Asset-Tag006
00:24:45:E1:58:07,Computer07,Serial007,Computer07,Asset-Tag007
00:24:45:E1:58:08,Computer08,Serial008,Computer08,Asset-Tag008
00:24:45:E1:58:09,Computer09,Serial009,Computer09,Asset-Tag009
00:24:45:E1:58:10,Computer10,Serial010,Computer10,Asset-Tag010
00:24:45:E1:58:11,Computer11,Serial011,Computer11,Asset-Tag011
00:24:45:E1:58:12,Computer12,Serial012,Computer12,Asset-Tag012
00:24:45:E1:58:13,Computer13,Serial013,Computer13,Asset-Tag013
00:24:45:E1:58:14,Computer14,Serial014,Computer14,Asset-Tag014
00:24:45:E1:58:15,Computer15,Serial015,Computer15,Asset-Tag015
00:24:45:E1:58:16,Computer16,Serial016,Computer16,Asset-Tag016
00:24:45:E1:58:17,Computer17,Serial017,Computer17,Asset-Tag017
00:24:45:E1:58:18,Computer18,Serial018,Computer18,Asset-Tag018
00:24:45:E1:58:19,Computer19,Serial019,Computer19,Asset-Tag019
00:24:45:E1:58:20,Computer20,Serial020,Computer20,Asset-Tag020
00:24:45:E1:58:21,Computer21,Serial021,Computer21,Asset-Tag021
00:24:45:E1:58:22,Computer22,Serial022,Computer22,Asset-Tag022
00:24:45:E1:58:23,Computer23,Serial023,Computer23,Asset-Tag023
00:24:45:E1:58:24,Computer24,Serial024,Computer24,Asset-Tag024
00:24:45:E1:58:25,Computer25,Serial025,Computer25,Asset-Tag025
00:24:45:E1:58:26,Computer26,Serial026,Computer26,Asset-Tag026
00:24:45:E1:58:27,Computer27,Serial027,Computer27,Asset-Tag027
00:24:45:E1:58:28,Computer28,Serial028,Computer28,Asset-Tag028
00:24:45:E1:58:29,Computer29,Serial029,Computer29,Asset-Tag029
00:24:45:E1:58:30,Computer30,Serial030,Computer30,Asset-Tag030
00:24:45:E1:58:31,Computer31,Serial031,Computer31,Asset-Tag031
00:24:45:E1:58:32,Computer32,Serial032,Computer32,Asset-Tag032
00:24:45:E1:58:33,Computer33,Serial033,Computer33,Asset-Tag033
00:24:45:E1:58:34,Computer34,Serial034,Computer34,Asset-Tag034
00:24:45:E1:58:35,Computer35,Serial035,Computer35,Asset-Tag035
00:24:45:E1:58:36,Computer36,Serial036,Computer36,Asset-Tag036
00:24:45:E1:58:37,Computer37,Serial037,Computer37,Asset-Tag037
00:24:45:E1:58:38,Computer38,Serial038,Computer38,Asset-Tag038
00:24:45:E1:58:39,Computer39,Serial039,Computer39,Asset-Tag039
00:24:45:E1:58:40,Computer40,Serial040,Computer40,Asset-Tag040
00:24:45:E1:58:41,Computer41,Serial041,Computer41,Asset-Tag041
00:24:45:E1:58:42,Computer42,Serial042,Computer42,Asset-Tag042
00:24:45:E1:58:43,Computer43,Serial043,Computer43,Asset-Tag043
00:24:45:E1:58:44,Computer44,Serial044,Computer44,Asset-Tag044
00:24:45:E1:58:45,Computer45,Serial045,Computer45,Asset-Tag045
00:24:45:E1:58:46,Computer46,Serial046,Computer46,Asset-Tag046
00:24:45:E1:58:47,Computer47,Serial047,Computer47,Asset-Tag047
00:24:45:E1:58:48,Computer48,Serial048,Computer48,Asset-Tag048
00:24:45:E1:58:49,Computer49,Serial049,Computer49,Asset-Tag049
00:24:45:E1:58:50,Computer50,Serial050,Computer50,Asset-Tag050
00:24:45:E1:58:51,Computer51,Serial051,Computer51,Asset-Tag051
00:24:45:E1:58:52,Computer52,Serial052,Computer52,Asset-Tag052
00:24:45:E1:58:53,Computer53,Serial053,Computer53,Asset-Tag053
00:24:45:E1:58:54,Computer54,Serial054,Computer54,Asset-Tag054
00:24:45:E1:58:55,Computer55,Serial055,Computer55,Asset-Tag055
00:24:45:E1:58:56,Computer56,Serial056,Computer56,Asset-Tag056
00:24:45:E1:58:57,Computer57,Serial057,Computer57,Asset-Tag057
00:24:45:E1:58:58,Computer58,Serial058,Computer58,Asset-Tag058
00:24:45:E1:58:59,Computer59,Serial059,Computer59,Asset-Tag059
00:24:45:E1:58:60,Computer60,Serial060,Computer60,Asset-Tag060
00:24:45:E1:58:61,Computer61,Serial061,Computer61,Asset-Tag061
00:24:45:E1:58:62,Computer62,Serial062,Computer62,Asset-Tag062
00:24:45:E1:58:63,Computer63,Serial063,Computer63,Asset-Tag063
00:24:45:E1:58:64,Computer64,Serial064,Computer64,Asset-Tag064
00:24:45:E1:58:65,Computer65,Serial065,Computer65,Asset-Tag065
00:24:45:E1:58:66,Computer66,Serial066,Computer66,Asset-Tag066
00:24:45:E1:58:67,Computer67,Serial067,Computer67,Asset-Tag067
00:24:45:E1:58:68,Computer68,Serial068,Computer68,Asset-Tag068
